柔軟	róuruăn	supple	我們說：「需要一個強壯的背脊，但柔軟的顏面。」
生平	shēngpíng	Life	就在她見到她生平的第一個工業機器人的一個小時以後，
觀	guàn	see	我之前說過,我想試著從當事人的角度來述說這個故事， 而不是從旁觀者的角度
限	xiàn	limit	這是一隻生活在大洋中的生物，牠不知道界限，因為牠從不登上陸地。
總和	zǒnghé	sum	中國餐館的數量，比麥當勞、漢堡王、肯德基、和溫蒂漢堡的總和還要多。
顫抖	zhàndǒu	shiver	士兵坐在沙包圍牆的角落裡擠成一團,邊顫抖邊尖叫.
失事	shīshì	crash	他後來很不幸地死於一場飛機失事。
獨到	dúdào	Unique	這不是我獨到的見解，先前就有人提過了，
公益	gōngyì	commonweal	通通都是地方居民，也都秉持著公益的原則。
敬佩	jìngpèi	admire	他的態度很令人敬佩，就像其他人一樣令人敬佩。
腐蝕	fŭshí	corrode	我認為，「不平等」會腐蝕與破壞社會的穩定性,
風水	fēngshuǐ	geomancy	讓一個風水師送一些人 乘著鬼馬進陰間。
轉化	zhuănhuà	invert	也就是說,當冰層溶化時,這些碳會經由微生物的作用轉化成甲烷
市面	shìmiàn	market	市面上不也有很多像是＂傻瓜也會...＂的這類書嗎？
職務	zhíwù	office	剛接管這項職務時，我試著真正去釐清一些問題，
娘家	niángjiā	Maiden	因為她們被強迫要從娘家帶回更多更多的錢。
意圖	yìtú	intention	那麼，我們的意圖是什麼，我們的意圖會怎樣 —
彈性	tánxìng	elasticity	他的願景是推動人類和機器合作，在預先設定的程式中允許彈性互賴，完成決策、控制複雜的狀況。
字體	zìtǐ	font	或說，我們常用的數字字體也是優良的設計作品
文憑	wénpíng	diploma	當我還是學生的時候，如果你有張大學文憑，你就有份工作。
麥子	màizi	wheat	開始雇人記錄別人欠下的麥子、羊、葡萄酒，
織	zhī	weave	他們的挑戰是「我該如何做才能排除成為組織化犯罪行為下的詐欺工具？」
自覺	zìjué	Conscious	並將其移動到一個大家在任何時間都自覺地聆聽著對方的地方，
習題	xítí	problem	不會是『翻開第七章，做所有奇數的習題。』
稱	chèng	call	「他們應該據此拍一部電影：他們把思想植入人腦，然後控制那些人去實現他們的目的。稱之為《植入記憶》」
電流	diànliú	current	電流也有可能影響到正常的電路,不只在我們想修復的不正常處.
西洋	xīyáng	Western	悄悄的，並沒有太多的誇耀，這個模式已經形成無數次遠超越西洋棋的成功。
催眠	cuīmián	hypnosis	這將讓我們有能力去活化或催眠不同的各種細胞,
稠密	chóumì	dense	能回到宇宙還是又熱又稠密，與現在大不相同的時候
老鼠	lăoshŭ	mouse	老鼠跟人都一樣 (雙關語: 老鼠跟男人都一樣). 這點作妻子的早就知道了 ...
蓬勃	péngbó	Vigorous	他們一手打造了美麗且生氣蓬勃的穀物、豆類、及南瓜花園，
見識	jiànshì	knowledge	發揮你們的才能 -- 因為你們才華橫溢。我們見識過
認定	rèndìng	cognizance	認定是個徵兆，要他以「蝙蝠俠」的形象行俠仗義。
干擾	gānrăo	interference	那這必須是慈善性地，因為追求利潤會干擾生物科技的發展，
引進	yǐnjìn	Introduce	克里斯：所以你現在作大投資，並且向市場引進這個技術？
首長	shǒucháng	Heads	他的親戚，他的朋友，他的國家安全部門的首長。
獨創	dúchuàng	Original	就可以走進歐盟, 然後申請為一全新獨創設計
思潮	sīcháo	ideological trend	一場思潮， 將使你重新思考什麼是意識，
武術	wŭshù	martial	克里斯•安德森：坦白一點吧，武術，遊戲，你知道的。
腐朽	fŭxiŭ	rotten	阿拉伯年輕人把腐朽的政權
籠子	lóngzi	cage	而我的朋友，鯊魚生物學家，維斯-普瑞特則在籠子內
假	jiă	FALSE	在瑞士銀行有著大量存款的所謂“社會主義者”，假惺惺的“解放者”，掠奪百姓的“菁英階層”
使命	shǐmìng	mission	我要重申的是，當你是非營利，你看待小孩如同你的使命，不是一個市場。
過關	guòguān	Clearance	透過關愛善行、透過修習、透過敞開心胸？
分子	fēnzǐ	molecule	因為若要是一個短壽的分子受到損害，但隨後這個分子很快就消亡了 -
鈴	líng	bell	因此我種植這種馬鈴薯，為它傳播基因，用更多的田來繁殖它。
本	běn	root	這就是我們所面對的情況。我們身處於一個對完整性、責任和透明化的基本保護都被完全捨棄的狀況。
交談	jiāotán	talk	但是最基本的，我們代表著我們的大腦。我的大腦正在和你的交談著。
冷清	lěngqīng	deserted	街道因此變得更加冷清和不安全，
務實	wùshí	pragmatic	其他的就比較務實，像健康教練、學習輔導員、就業俱樂部等。
好受	hăoshòu	Feel	我也不想為自己帶來這麼大的折磨，那也並不好受。”
號	hào	number	不論你是在俄國、奈及利亞，或是阿拉斯加，它永遠和貪汙畫上等號，而那就是我們在這裡所面對的狀況。
展望	zhănwàng	prospect	而我們認為這是未來的展望。其實今天就可以這麼做
翻身	fānshēn	turn over	而我終於在高中時期翻身，
萬物	wànwù	Everything	「當世上最後一隻渡渡鳥死去的時候，斯賓諾莎正不斷尋找一個適用萬物的理性解釋
頒獎	bānjiăng	Awards	她到舉行頒獎典禮的所在地後，就急著到處逛，
比擬	bǐnǐ	metaphor	事實上,很多人稱其可與戰場相比擬。
畫面	huàmiàn	Picture	但我們尚未能把這些資料整合在一起，以顯示出一幅有趣的畫面，
著作	zhùzuò	writings	是否埋首藝術創作時，我們想著作品得適合美術館的牆？
擴散	kuòsăn	diffusion	我們中間沒有人真的將用真實的擴散的並且全面的方式將黃金法則擴大。
溫和	wēnhé	mild	所以有些地區進化成殺傷力強的菌種.有些則進化成溫和菌種.
撤銷	chèxiāo	quash	案例可以無偏見的撤銷或重新提交小額錢債法庭
遠景	yuănjǐng	perspective	「海龍」是一個軟體環境，你可以通過它以近景或遠景的方式
診斷	zhěnduàn	diagnosis	我們還必須提供他們需要的工具，使他們針對這些診斷作出相應措施。
推選	tuīxuăn	Selection	但是問題主要不是在於我們推選錯的人進國會。
地步	dìbù	situation	賽思戈丁，很抱歉，但是千年以來，我們已經看出部落制度會走到甚麼地步
筆畫	bǐhuà	stroke	這個點子是--因為大家易忽略白色--就像鉛筆畫一樣，你知道吧？
甚	shèn	extremely	或是西歐洞穴中軟泥上的舞步, 那是在歐里納克（譯按：舊石器時代晚期〕時期，約莫三萬五千年前，或甚至更早
開口	kāikǒu	placket	結果發現他死的時候，顳骨被取走(顳骨位於顱骨兩側，又稱為內耳門的開口)
爭辯	zhēngbiàn	contended	在法庭上, 她與法官爭辯, 希望可以給她打折。
品種	pǐnzhǒng	variety	但是，我可以看著你們的眼睛，告訴你們，如果不能保存不同的作物品種，
現行	xiànxíng	active	如果我們以現行的方法，例如化療和放射性療法，來消滅癌症，
議論	yìlùn	argumentative	而自相矛盾的議論就是十年前到二十年前中間這段時間相當有前景
荒唐	huāngtáng	ridiculous	實際上他發明的是烤麵包。不過那時，如果叫烤麵包伯爵就太荒唐了。
周詳	zhōuxiáng	Comprehensive	沒有一個是帶著周詳地計劃來的。
理財	lǐcái	Financial	事實上 這些理財高手 也就是這個計畫的工作人員
進場	jìnchăng	Approach	那年的冬季奧運在義大利舉行，而我負責護旗進場
添	tiān	increase	你會得到三千萬個相關網頁。如果你添加「顧問」一詞，會翻到六千萬。（笑聲）
苦衷	kŭzhōng	Difficulties	後來，我才知道爸爸有他的苦衷
加以	jiāyǐ	moreover	這些特質你都可以在小孩子身上找到，然後你可以針對這些特質加以培養。
保安	băoān	security guard	但我還是被擋住了，我在第三層保安線被阻。
法人	fărén	juridical person	執法人員可以破察誰在某個時刻
臨	lín	Pro	那裡一片黑暗 -- 土衛六上的中午時刻跟地球上黎明來臨之前一樣黑暗。
竭力	jiélì	Tried	他們在鬥爭，竭力在維持他們自己的生活方式
情趣	qíngqù	Taste	點亮手電筒。也可以用在 － 例如，情趣玩具、等等。
底片	dǐpiàn	negative	另一個模式是「不同聲音」，以底片的方式呈現，
破碎	pòsuì	broken	我們最想得到的東西, 其實我們也在治療自己內裡的那些破碎的部份
串	chuàn	skewer	並且可以看到大腦真的會發展特定的處理模式，來處理這一連串複雜的聲音。
團員	tuányuán	Members	他叫南阿布．納沙，是我們在第一次巡演時招募到的團員，
指標	zhǐbiāo	index	某種程度而言，兩棲類對環境很敏感，是很好的指標性生物
方向盤	fāngxiàngp	steering wheel	如果我轉一下這個方向盤，你可以看到上面的數字增多或減少
謙遜	qiānxùn	humility	若非身為一個謙遜低調的英國人。我就會自己提及那書，
崩潰	bēngkuì	collapse	興高采烈地為媒體趨同化工作。接著，一跌到底，全線崩潰。
痰	tán	phlegm	發燒、夜間盜汗、痰中有血，也就是咳血、
軍官	jūnguān	officer	之後他們說：「看，不如取他在預備軍官訓練團的成績，
棍子	gùnzi	stick	代代相傳，直到某人說，我們為什麼不把斧片安在棍子上呢？
收費	shōufèi	toll	我要強調一點，收費機制絕對可以讓我們的用路頻率一夕之間改變。
居	jū	reside	但是我居然不知道牛頓是不是穆迪.布魯斯樂隊的（意指心情不好）你們知道嗎
均勻	jūnyún	uniform	這最終是因為均勻分佈的足，在這種情況下，它的整個身子都扮演著腳的角色。
伙伴	huǒbàn	partner	很多人都知道，他己經在他的組織「健康伙伴」工作了二十年
優勢	yōushì	advantage	只不過，現在我必須跟那些天生就比我具優勢的選手們一起做訓練。
官	guān	official	重新檢視我的一些作品，一些我曾經寫過的東西，以及一些我為了知道事情的真相而和官方所做的交換。
自	zì	self	很少人能夠結合這些後自成一格，也是最重要的事情，感到無比的自信，並將它放在一個組合中，然後去承擔一些瘋狂的風險。
重疊	chóngdié	overlap	而某些東西是可以重疊的話，群集間的距離會更遠，
理學	lǐxué	Science	找一張餐巾紙-本人是物理學者,所以我會拿一張有學問一點的方格紙.(笑聲)
殘暴	cánbào	atrocious	♫探險家們殘殺了印第安勇士 (史溫妮:) 非常殘暴♫
神	shén	god	因此，毗濕奴神現身了。(註：毗濕奴為印度教三相神之一，主掌「維護」，在印度神話中為保護之神。其中一個毗濕奴的化身曾三七二十一次殺光人間侵犯婆羅門利益的剎帝利人。)
公文	gōngwén	document	他是一個現代社會的生意人，提著公文包為生活奔走
茂密	màomì	dense	雖然畫中的他頭髮茂密，實際上他是個禿頭
化工	huàgōng	chemical industry	興高采烈地為媒體趨同化工作。接著，一跌到底，全線崩潰。
彗星	huìxīng	comet	為了感謝他在尋找彗星領域的貢獻，有個彗星是用他的名字命名的。
任意	rènyì	arbitrarily	它界定了傾斜的軸線，如此這般我就可以向上或向下任意傾斜。
池子	chízi	pool	嗯，你是無法從外太空看到有多少池子，
過量	guòliàng	overdose	購買過量或過大的東西、付錢醫治我們的「不寧腿症候群」，
正當	zhèngdāng	Legitimate	但是我跟妳保證有一天布魯客林.道奇隊會很公平正當的贏得冠軍.
防範	fángfàn	guard against	若全家都罹患瘧疾 除非蚊帳真的對防範瘧疾有幫助
宣告	xuāngào	pronouncement	宣告世界上其他國家，並告訴在那個城市中的人民說，
鼻孔	bíkǒng	nostril	-- 有些人猜想我可從鼻孔偷看呢，所以再 
作怪	zuòguài	do mischief	當然，也很可能是我今天喝下的咖啡因和糖分在作怪 －
封鎖	fēngsuǒ	blockade	所以我們將其稱之為反介入、區域封鎖的非對稱戰略理論
老天爺	lăotiānyé	God	我們二個口裡不斷唸著：「噢，老天爺！老天啊！」
裝運	zhuāngyùn	Shipment	用這些角塊保護在裝運過程中的桌子
松樹	sōngshù	pine tree	這就好像叢林一樣，每棵松樹都是不同的
苛責	kēzé	Hard	我把所有的時間花在對我自己的嚴厲苛責中
誠心	chéngxīn	Sincere	我們誠心地邀請你的加入. 謝謝.
故	gù	old	當一個女人起身而說：「不，我不會坐到公車後頭」（譯按：指黑人女性拒絕移坐而引起種族意識抬頭的故事）
擔當	dāndāng	Play	為什麼說他們開明?因為他們邀請觀眾擔當演員、
上述	shàngshù	aforementioned	上述僅僅只是短期的解決辦法，而你還需要一個長期的解決辦法。
司令	sīlìng	commander	那是引自謝爾曼將軍（南北戰爭的北軍將領）給格蘭特總統（南北戰爭北軍司令，總統）的一段話，
匯	huì	remit	正如你們所知，我們已經積累了一定的外匯儲備。其重要之處在於，
併發	bìngfā	Concurrent	但依舊會死於肺結核第二期或是其他併發症狀
而	ér	whereas	「天啊！終於！隨之而來的東西太多了，虛擬現實、神經操縱、夢幻仿真......神經編碼、記憶編輯、心理障礙治療，未來太美好了！」
報案	bàoàn	Report	嗯，他們發現了需要保密的報案人的名字和資訊。
自信	zìxìn	assertive	很少人能夠結合這些後自成一格，也是最重要的事情，感到無比的自信，並將它放在一個組合中，然後去承擔一些瘋狂的風險。
深厚	shēnhòu	deep	基於深厚的文化因素，你們一定覺得，那種順序太無聊了，
搜集	sōují	collect	我們時時刻刻都在創造和搜集各種有關我們如何生活的數據，
支配	zhīpèi	dominate	生命是一種能支配自我的力量。這是一個新的因素。
反射	fănshè	reflection	建造這個島是物有所值的, 因為鏡像反射你會得到兩倍的錢的效果。
寢室	qǐnshì	bedroom	「私人折磨寢室裡的工具收藏間」。
丘陵	qiūlíng	hilly	我看到這個，我看到丘陵和山谷，
便	biàn	convenient	這樣通過一段時間，這些推進馬達便可以輕微地、慢慢地將小行星推進另一個軌道，
溫馴	wēnxún	Tame	沒有銳利的爪子、毛皮柔順、眼神溫馴、
支應	zhīyīng	cope with	對世界上其他地方來說，也足夠支應晚上所需電力，
透明	tòumíng	transparent	這就是我們所面對的情況。我們身處於一個對完整性、責任和透明化的基本保護都被完全捨棄的狀況。
躍	yuè	jump	在印度, 當時無這類組織。現在至少有五十萬活躍的非政府組織。
復原	fùyuán	rehabilitation	當你進入這個探索後你將無可避免的，無可復原的徹底改變
募集	mùjí	raise	事實上，我們由個人，基金會，或是公司團體募集資金，
手冊	shǒucè	handbook	無論工作手冊寫得多詳細，你還是無法把你所知的全部轉移給對方，或在某種情況下你會有的直覺反應
誤解	wùjiě	misunderstand	但是設計，處於某種原因，仍被大眾誤解為裝飾性質。
信念	xìnniàn	belief	也許你們當中的很多人都讚同我們這個大家都要尊敬宗教的有禮貌的文化信念，
團聚	tuánjù	reunion	不過有可能它還是得回家和家人團聚
架構	jiàgòu	Architecture	同樣用我的“五點架構”法來檢驗。第一點：人類對環境的影響。
出頭	chūtóu	out of the head	這張照片為夕陽中海中生物，在離佛羅里達海岸不遠處探出頭來
方針	fāngzhēn	policy	我們已經改變了聯邦緊急措施署的指導方針，我們已經改變了公共政策
轉帳	zhuănzhàn	Transfer	而非沒有存款的轉帳帳戶
物資	wùzī	material	我們可以把醫藥物資送進去，我們可以幫孩子們打疫苗。
作戰	zuòzhàn	Combat	那些藝術家,學生, 不願拿起槍去作戰的男人們
轎車	jiàochē	sedan	下面我用一分鐘來集中談一下輕型汽車，轎車和輕型卡車。
疏散	shūsàn	evacuate	我們得疏散女人和小孩，我們要走了。」
膽	dăn	gall bladder	我能大膽地告訴你，這種事情從來沒在這個星球上其他地方發生過。
勤奮	qínfèn	diligent	非洲的婦女非常勤奮, 她們專心致志, 她們認真工作
賭博	dŭbó	gambling	我應該說，輸了更多的錢——在賭博上。
來賓	láibīn	guest	我希望在座及樓下的每一位來賓能跟我一起活動一下。
孤獨	gūdú	lonely	這不會成功的。這不會成功的，你將會孤獨地死去的。（笑聲）
鴿子	gēzi	dove	所有的鴿子都在那兒等著他，就像《紅氣球》里拍的一樣
疲憊	píbèi	exhaustion	閒逛、談話、參加職員會議的疲憊不堪就回家了。
門戶	ménhù	portal	總覺得像是發現了跨越空間的門戶或是蟲洞。
趴	pā	Lying	等到你來接孩子放學的時候，就看見他們一個個軟趴趴的樣子，
護	hù	protect	因此，毗濕奴神現身了。(註：毗濕奴為印度教三相神之一，主掌「維護」，在印度神話中為保護之神。其中一個毗濕奴的化身曾三七二十一次殺光人間侵犯婆羅門利益的剎帝利人。)
繼承	jìchéng	inherit	除非我們培養繼承者接任我們的工作，否則問題依然存在。
一如	yìrú	As	所以最老的病人亦可以好轉改善, 一如年輕的患者.
拋	pāo	throw	後來當布魯客林.道奇隊拋棄我們投向洛杉磯城市的懷抱後,
農田	nóngtián	farmland	就是許多農田，大家可以在上圖左邊看到，永遠流失了
缺陷	quēxiàn	flaw	因為「注意力缺陷障礙」，這些小孩專注狀態的貝他波的比例比較小
興致	xīngzhì	interest	在興致所至的時候脫口而出，然後又收回去。
取悅	qŭyuè	Please	吸引你進入一個你能完成的事情，一個取悅你的事情中
喜氣	xǐqì	Festivity	它不僅只關於傷心欲絕和喜氣洋洋，
鳴	míng	toll	都將在遙遠的未來引發共鳴，影響所及並可能遠遠超出地球之外，
培訓	péixùn	training	因此，這一切都要從我的 -- 我最初是一名建築師，或培訓作為一個建築師
產值	chănzhí	Output	我們就能藉此創造出數十億的經濟產值。
猖獗	chāngjué	rampant	♫賣淫猖獗， 錢色交易——這有什麼錯呢？♫
鼓動	gŭdòng	agitate	我們永遠不會鼓動消費者即興省錢。
爆發	bàofā	erupt	但是是在零距離接觸並且將數百萬年的能量集中到同一時間爆發
容器	róngqì	container	是這樣子的 - 拿一個箱子，一個小型不鏽鋼容器，還有一個活塞。
確實	quèshí	truly	那是一種變成熟的骯髒方法，但是我們確實變成熟了，因為我們都了解，
標語	biāoyŭ	slogan	這裡是一塊標語牌，上面寫著“貫徹執行《人口與計劃生育法》
農作物	nóngzuòw	cropper	我們的生活會發生什麼變化？我們的農作物又會怎麼樣？
外祖父	wàizŭfù	grandfather	他的外祖父是一位地方官員，年紀很大了。
同伴	tóngbàn	companion	它們會拍著另外一個同伴的背，它們會大搖大擺地走來走去，揮舞它們的拳頭
崇尚	chóngshàn	advocate	我們可以看到，全世界越來越多的人開始崇尚步行生活。
糞	fèn	manure	但這是事實，它就是一個你能想像得出的最污穢的化糞池。
物體	wùtǐ	object	區域劃分工具可以連接地理位置上不相鄰的物體，將建築物還有道路連接起來。
戰術	zhànshù	tactics	因為這家企業的戰術運用就某方面而言
教誨	jiàohuǐ	Teachings	聽從了佛經的教誨，他們會說，噢，真的有人想變成慈悲的人嗎？
崗位	găngwèi	Post	通過這個活動，僅在牙買加我們就創造了至少一百的技術類工作崗位，
工藝品	gōngyìpǐn	handicraft	與猩猩一起共事生活，他們可以利用廢木料作工藝品。
珍惜	zhēnxí	treasure	我們真的需要，真的珍惜，並認真追求。
田地	tiándì	field	我們如何弄到如斯田地正是美國飲食文化的發展史
整體	zhěngtǐ	overall	給碳訂個價錢，我們需要徵收二氧化碳的稅，但不增加整體稅賦，
扭轉	niŭzhuăn	torsion	你需要扭轉你的頭, 拱起你的腰, 這真是很累人的.....』
元素	yuánsù	element	因為早熟就表示過早進入成人期，但卻還保留了一些不成熟的元素。
拍照	pāizhào	photograph	我試圖通過從門口和百葉窗向內拍照之類的手段來引起人們的興趣。
舉重	jŭzhòng	weightlifting	也許對舉重石頭來說算還不錯。
礦產	kuàngchăn	Mineral	因為外援就像石油或礦產一樣，已經幫他們創造出金錢了，
設置	shèzhì	Set up	當她加入我的生活時，我們正在抗議一個龐大的廢棄物處理廠的設置，
關頭	guāntóu	Key	在美國這本書叫作《人類的最後一小時》（人類的最後關頭）
連線	liánxiàn	Connection	克里斯·安德森: 而現在我們連線到委內瑞拉卡拉卡斯現場
放款	fàngkuăn	Lenders	從債主、企業家身上放款
世事	shìshì	Things	沒錯，世事艱難，你也看到很多貧困現象，
男方	nánfāng	Man	這裡是另一對情侶。男方面向我們
呈獻	chéngxiàn	Presents	已引人入勝的故事呈獻深具意義的物品
扛	káng	carry on shoulders	「謝謝你扛起了養家的責任，讓我可以好好在家照顧孩子。」
編織	biānzhī	weave	我們可以對它們進行編織、接合，或是我們可以將它們做成你看到的這樣。
國產	guóchăn	Domestic	以及這事情發生之後對美國產生的影響。
水道	shuǐdào	waterways	讓它們可以被用來阻隔海水倒灌到其它下水道系統
著想	zháoxiăng	Sake	試著想像一下，你活在一個只為生計打拼的世界，沒有故事可說，
電器	diànqì	Electrical appliances	猜猜還有什麼？我們還有一個小型的腳踏式充電器，以防萬一。
壯觀	zhuàngguā	spectacular	成果看起來就會很棒，而（倫敦希斯路機場）第五航廈的確是華麗壯觀，
魄力	pòlì	courage	我發現這個作品具有無比魄力
電壓	diànyā	voltage	接著，最後的，一個程式設定器，去設定會引起刺激的電壓，
不容	bùróng	not allow	現在我將要告訴你們，而且它將會看起來正確無誤不容懷疑，
同性戀	tóngxìngli	homosexual	它是屬於我獨一無二的經驗，因為我是同性戀者——那麼你也不會看到我。
中和	zhōnghé	neutralization	你在別人、而不是自己的身體中和頭腦上花了太多工夫
形形色色	xíngxíngsè	Various	還是宇宙間充滿形形色色,大異其趣的許多生物化學
飢餓	jīè	hunger	美國的飢餓問題和全球其他地方的飢餓問題當然會有點不一樣，
社團	shètuán	Societies	我曾經是天文學社團的團員，我應該最清楚不過了。"
西醫	xīyī	Western	西醫束手無策。我卻可以醫好。」
時效	shíxiào	aging	這些將它們固定在石頭上的足絲線是有時效的，不多不少正好兩年，
補救	bŭjiù	remedy	與氣候變化的補救措施時，我認為其中有很多誤解，
準則	zhŭnzé	criterion	無論我們具體的信仰是什麼，這都是有關宗教、有關精神的準則
不惜	bùxí	not spare	實際上，人們會為了懲罰欺騙者而行動，甚至不惜犧牲自己的利益。
天災	tiānzāi	act of God	也許另一個偉大的宇宙計劃將實現,所以會有可怕的天災人禍,
免疫	miănyì	immunity	另外非常重要的一點 -- 我們把這些錢投資在人體免疫缺乏病毒和愛滋病的教育上
斷絕	duànjué	sever	他們會說：「我們斷絕關係了。當沒生過你這個兒子。」
媒體	méitǐ	media	電腦需要統整各式各樣且大量的地理資訊、社群媒體的數據和救災團體的資料去回答這個問題。
計	jì	plan	但如果情況不是那麼順利的話，我就會像李文和一樣被關起來了。（李文和因洩漏國家研究計畫內容入獄）
悠閒	yōuxián	leisurely	和在黑池試辦－－那裡因為海灘和悠閒而聞名
決議	juéyì	resolution	屆時我們將沒有任何的國際機制進行相關決議。
嚮導	xiàngdăo	Wizard	第二，在瀏覽宇宙的旅途中可以讓天文學家作為您的嚮導。
下水道	xiàshuǐdà	sewer	讓它們可以被用來阻隔海水倒灌到其它下水道系統
輻射	fúshè	radiation	它能够承受三百万拉德（輻射計量單位）的辐射並且存活下來。
噴漆	pēnqī	spray paint	如果你願意，你可以在模具裡直接加顏色，就省的給車噴漆了
戰線	zhànxiàn	front	"文明戰線"的人們告訴我說他們很樂意為這而工作
汲取	jíqŭ	draw	第三，我們堅定的相信我們不要單純模仿自然，而是要從生物中汲取靈感，
雪人	xuěrén	snowman	「水猿理論就跟幽浮和雪人一樣」
衷心	zhōngxīn	heartfelt	他們通常不是故意的，我們也衷心希望不是，但卻還是扭曲了證據的本質。
出力	chūlì	exert oneself	科特：後來是你和基金會自己出錢出力，完成這個計畫。
目睹	mùdŭ	Saw	如果一個士兵目睹同袍被炸，他的腦部會進入高警戒狀態，這會使他無法將這個經驗轉成語言說出來
安詳	ānxiáng	serene	你會發現這些畫表現出不可思議的恬靜安詳
眉頭	méitóu	brow	一副划船手套，還有，面带微笑或是眉頭深鎖，
兵	bīng	soldier	如果一個士兵目睹同袍被炸，他的腦部會進入高警戒狀態，這會使他無法將這個經驗轉成語言說出來
傷亡	shāngwán	casualty	後來我聽說這些伊拉克的傷亡人員不會在塔吉接受治療.
繡	xiù	embroider	現在有許多花拳繡腿的解決方案就如同剛剛的示範
停頓	tíngdùn	pause	於是, 在一段很長, 很令人不安的停頓之後, 我說
洽談	qiàtán	Negotiate	而是因為 當你與合作廠商洽談時
陰影	yīnyǐng	shade	利用波浪造成的陰影移動，這樣比較不容易被看到。
悲觀	bēiguān	gloomy	只是假設 -- 儘管有許多人對未來有悲觀的預測( 世界末日等 ) 
瓦斯	wăsī	gas	但那時，我仍然沒有完全理解史瓦斯摩大學對我到底造成了甚麼影響。
腐爛	fŭlàn	rot	你也可以把它丟掉，最好是丟在看不到的地方，然後它會自行腐爛掉。
購	gòu	purchase	他們會煮飯, 打掃, 買東西, 購物血拼, 蓋房子, 但是, 他們並沒有出現。
為首	wéishǒu	Headed	因為首先他們非常希望聽到一些來自西方友好的聲音
途徑	tújìng	Way	所以，當其他途徑都不通的時候，讓我們談一下全球氣候變遷的議題
海面	hăimiàn	sea level	小海豹的母親極盡所能地想要將小海豹推至海面上呼吸
形勢	xíngshì	situation	我們更有能力去創造一個新穎、變革的發展形勢。
總裁	zǒngcái	president	我說：「什麼計數員？」他說：「嗯，我們的總裁傑夫．霍金斯說，
學分	xuéfēn	Credits	以上就是我們為了瞭解一個化學分子所做的努力
處	chŭ	place	這就是我們所面對的情況。我們身處於一個對完整性、責任和透明化的基本保護都被完全捨棄的狀況。
武裝	wŭzhuāng	arm	當黎明時我們遇到了哥倫比亞革命武裝力量的巡邏隊，所以是很慘的經歷。
匆忙	cōngmáng	hasty	一聽到有鯊魚出沒就匆忙趕到布拉斯克島
牆角	qiángjiăo	corner	像是我被逼到牆角而且只有一條退路(自殺)，
世間	shìjiān	world	因此，我們被教誨著 ‘ 我的慈悲環繞著世間萬物。 ’
溜冰	liūbīng	skating	你會看到溜冰的人通常朝這個方向,(這方向的)障礙比較少.
納悶	nàmèn	Wonder	從那時開始，我不禁納悶為什麼資本主義
學徒	xuétú	apprentice	是我當一位木匠的學徒時學的，學垂直、正方、水平
芽	yá	bud	芽看起來似乎很微小，但為了得到陽光的滋潤它們可以穿過堅硬的磚牆，
奠定	diàndìng	establish	他們想不到將來會怎樣，但是他們為我們奠定了基礎，這是非常偉大的。
咱	zán	we	所以那感覺，就像，走吧，咱們就開始走這趟旅程吧。
可見	kějiàn	visible	可見的料的多少 -- 這是我在義大利麪的行業中最喜歡的詞語。 (笑聲)
實質	shízhí	parenchyma	我們可以看到東西，但我們看不見的這些東西實質到底是甚麼。
依賴	yīlài	depend	你可能會回答說 “那是因為那裡沒有任何東西可以讓我們依賴而生存”
穿梭	chuānsuō	shuttle	在浩瀚的太陽系里穿梭了七年。我們把它發射到土衛六的大氣中，
達	dá	reach	我們活在「玻璃天花板」之下（通常專指女性所遭遇的在工作中升級時遇到的一種無形的障礙, 使人不能到達較高階層）
跑道	păodào	runway	因為熱空氣造成空氣密度下降提供較少的爬升空間進而需要更多的跑道空間
均衡	jūnhéng	equilibrium	或是去了解經濟的本質，又或是讓世界處於均衡狀態。
蒼白	cāngbái	pale	儘管喝了一下午的酒，他看起來仍然蒼白
賦予	fùyŭ	endow	我感受到一種義務,就是不斷地把這些地方賦予生命及人性
聯繫	liánxì	contact	當然不能以一種令人感到恐慌的方式，而是一種人們可以理解的方式聯繫起來。
任	rèn	allow	這就是我們所面對的情況。我們身處於一個對完整性、責任和透明化的基本保護都被完全捨棄的狀況。
創辦	chuàngbàn	Founded	每當我跟人們說：“ 我打算創辦一份電腦雜誌”，人們只會朝我笑笑。
率	shuài	rate	桔色條塊代表了腰及肩的安全帶（兒童的死亡率），而紅色條塊則代表了僅護腰的安全帶（兒童的死亡率）。
射手	shèshǒu	shooter	我的雙腳、修復視力受損的雷射手術
蓋章	gàizhāng	stamp	因為邀請函上有各種蓋章和簽名
剔除	tīchú	remove	因為它們不符合我們“像綿羊”的標準，被從羊群中剔除了。
豐收	fēngshōu	bumper harvest	他們能夠豐收且下一個季節繼續種植
胸	xiōng	chest	我是說，有人--比如帕米拉•安德森（美國豔星，以其碩大的隆胸著稱）的修復程度可大大高過我，
輕視	qīngshì	despise	牠們是種傑出的人種。我並不是輕視尼安德塔人。
邏輯	luójí	logic	那不是有意識的自我服務，但是，對於一個生物學家來說，那就是他的邏輯。
援助	yuánzhù	aid	那就是馬歇爾援助計劃。我們必須再來一次。援助是解決方案的一部分。
座右銘	zuòyòumín	motto	所以，我的座右銘是：綠色(環保)是新的紅白藍」
茫然	mángrán	dazed	會讓你當下看起來不知所措一臉茫然
屈服	qūfú	succumb	他也從來沒有屈服於自己的嫉妒心或是被瑣碎的壞情緒所控制.
